0,-18
1,-31
2,-36
3,-32
4,-35
5,-35
6,-84
7,-77
8,-72
9,-73
10,-71
11,-68
13,-65
14,-64
16,-61
17,-60
19,-59
20,-58
22,-57
23,-56
25,-56
26,-55
28,-54
29,-54
31,-53
32,-53
34,-53
35,-52
37,-52
38,-52
40,-51
41,-51
43,-51
44,-51
46,-51
47,-50
49,-50
50,-50
52,-50
53,-50
55,-50
56,-49
58,-49
59,-49
61,-49
62,-49
64,-49
65,-49
67,-48
68,-51
70,-51
71,-53
73,-52
74,-52
76,-52
77,-52
79,-56
80,-56
82,-55
83,-55
85,-55
86,-55
88,-56
89,-56
91,-56
92,-55
94,-55
95,-55
97,-54
98,-54
100,-55
101,-55
103,-55
104,-55
106,-55
107,-55
109,-55
110,-55
112,-57
113,-57
115,-56
116,-56
118,-55
119,-55
121,-57
122,-57
124,-57
125,-57
127,-58
128,-58
130,-57
131,-57
133,-58
134,-58
136,-58
137,-59
139,-60
140,-60
142,-59
143,-59
145,-59
146,-59
148,-60
149,-60
151,-59
152,-59
154,-59
155,-60
157,-60
158,-60
160,-60
161,-60
163,-59
164,-59
166,-60
167,-60
169,-61
170,-61
172,-60
173,-60
175,-60
176,-60
178,-60
179,-60
181,-59
182,-60
184,-60
185,-60
187,-60
188,-60
190,-61
191,-61
193,-60
194,-60
196,-60
197,-60
199,-60
200,-60
202,-60
203,-60
